transaction_id,complaint_id,sender_account,receiver_account,amount,transaction_time,transaction_type,transaction_status
TXN80001,CC1107,ACC101043,ACC100806,192365.52,2025-08-02 22:02:08,ATM Withdrawal,Completed
TXN80002,CC1340,ACC101146,ACC100755,184392.45,2025-11-08 20:10:52,NEFT,Pending
TXN80003,CC1180,ACC100615,ACC100186,75495.1,2026-01-17 02:35:22,Card Payment,Failed
TXN80004,CC1551,ACC100507,ACC101195,86855.66,2026-02-03 00:29:58,NEFT,Failed
TXN80005,CC1299,ACC101628,ACC100788,169388.53,2025-09-18 12:11:46,UPI,Failed
TXN80006,CC1761,ACC101295,ACC101173,71668.95,2025-10-18 20:05:58,Card Payment,Reversed
TXN80007,CC1275,ACC101518,ACC101909,184708.04,2025-04-28 13:04:28,UPI,Failed
TXN80008,CC1014,ACC101943,ACC100331,179563.19,2025-03-20 16:42:06,IMPS,Completed
TXN80009,CC1662,ACC101709,ACC101931,57692.51,2025-04-12 07:50:48,RTGS,Failed
TXN80010,CC1684,ACC100983,ACC100792,139960.57,2025-03-01 22:37:16,ATM Withdrawal,Pending
TXN80011,CC1711,ACC100998,ACC101661,90224.82,2025-01-27 23:08:37,Card Payment,Pending
TXN80012,CC1549,ACC100830,ACC100592,133055.36,2025-09-05 06:49:59,UPI,Pending
TXN80013,CC1435,ACC101970,ACC101747,127065.77,2025-01-31 18:46:41,ATM Withdrawal,Reversed
TXN80014,CC1725,ACC101678,ACC100384,23756.72,2025-07-13 13:24:28,IMPS,Completed
TXN80015,CC1615,ACC101529,ACC100774,197994.56,2026-02-28 13:04:00,NEFT,Failed
TXN80016,CC1765,ACC100808,ACC101875,48481.81,2025-06-28 01:08:50,NEFT,Pending
TXN80017,CC1697,ACC101432,ACC100451,54098.64,2026-08-26 17:02:04,NEFT,Reversed
TXN80018,CC1996,ACC100868,ACC101135,44531.09,2026-03-08 15:22:39,Card Payment,Completed
TXN80019,CC1097,ACC100972,ACC101770,90741.73,2025-03-15 10:09:40,RTGS,Failed
TXN80020,CC1834,ACC100827,ACC100247,55232.39,2025-01-28 19:10:13,NEFT,Failed
TXN80021,CC1065,ACC100938,ACC100623,170367.5,2026-01-05 13:56:19,NEFT,Reversed
TXN80022,CC1834,ACC100108,ACC100226,110142.3,2025-09-10 15:48:08,IMPS,Pending
TXN80023,CC1069,ACC101163,ACC101198,156567.81,2026-01-01 23:57:41,IMPS,Failed
TXN80024,CC1365,ACC101194,ACC101553,32011.17,2025-07-07 15:43:28,IMPS,Failed
TXN80025,CC1832,ACC100190,ACC100612,121767.26,2025-01-27 06:59:54,ATM Withdrawal,Failed
TXN80026,CC1003,ACC101993,ACC100367,148718.74,2025-12-09 10:04:46,Card Payment,Pending
TXN80027,CC1852,ACC101919,ACC101602,193724.5,2025-10-23 21:16:56,ATM Withdrawal,Reversed
TXN80028,CC1493,ACC100289,ACC100370,106922.3,2026-07-03 07:36:00,RTGS,Reversed
TXN80029,CC1774,ACC100494,ACC101960,47068.32,2025-09-16 11:17:24,Card Payment,Completed
TXN80030,CC1383,ACC101407,ACC100988,58835.94,2025-07-22 04:22:05,UPI,Failed
TXN80031,CC1714,ACC101601,ACC101205,91868.69,2026-06-14 14:37:52,RTGS,Pending
TXN80032,CC1066,ACC100275,ACC101792,137796.63,2025-10-24 00:37:20,RTGS,Pending
TXN80033,CC1452,ACC101015,ACC101333,87371.62,2025-04-08 16:12:03,Card Payment,Failed
TXN80034,CC1515,ACC100106,ACC100123,20431.1,2026-07-03 15:15:05,RTGS,Pending
TXN80035,CC1597,ACC100173,ACC100665,18873.79,2025-03-08 08:14:27,IMPS,Reversed
TXN80036,CC1175,ACC101293,ACC100213,189085.07,2025-01-16 15:51:35,UPI,Reversed
TXN80037,CC1100,ACC100093,ACC101260,134441.91,2026-06-22 10:27:19,NEFT,Failed
TXN80038,CC1780,ACC100931,ACC101719,11049.37,2026-07-16 20:53:00,NEFT,Reversed
TXN80039,CC1842,ACC101185,ACC101345,39985.56,2025-03-15 11:16:11,Card Payment,Pending
TXN80040,CC1013,ACC100828,ACC100069,11032.37,2025-07-19 01:11:32,IMPS,Failed
TXN80041,CC1663,ACC101416,ACC101930,67359.87,2025-01-20 21:20:58,NEFT,Pending
TXN80042,CC1296,ACC101518,ACC100196,19619.61,2025-06-07 00:25:26,IMPS,Completed
TXN80043,CC1106,ACC100646,ACC100155,51590.86,2026-08-26 18:09:01,UPI,Reversed
TXN80044,CC1435,ACC101829,ACC100512,41558.43,2026-06-16 04:08:08,NEFT,Failed
TXN80045,CC1039,ACC100065,ACC100655,46805.38,2026-08-25 04:11:42,NEFT,Completed
TXN80046,CC1382,ACC100774,ACC100287,131175.5,2025-04-08 21:47:39,UPI,Completed
TXN80047,CC1117,ACC101553,ACC100426,51577.18,2025-11-11 06:14:36,UPI,Pending
TXN80048,CC1234,ACC101315,ACC100357,73041.63,2026-06-14 12:07:50,NEFT,Pending
TXN80049,CC1250,ACC101502,ACC101225,51205.51,2026-02-26 21:18:21,NEFT,Pending
